id	countryCode	occurrenceStatus	establishmentMeans	speciesKey
37261	PT	Present	Alien	['Uncertain']
37262	PT	Present	Alien	[2685484]
37263	PT	Present	Alien	[2685552]
37264	PT	Present	Alien	[2685464]
37265	PT	Present	Alien	['Uncertain']
37266	PT	Present	Alien	[3152633]
37267	PT	Present	Alien	[3937501]
37268	PT	Present	Alien	[3152632]
37269	PT	Present	Alien	[3152614]
37270	PT	Present	Alien	[2981303]
37271	PT	Present	Alien	[2979559]
37272	PT	Present	Alien	[2980425]
37273	PT	Present	Alien	[2979474]
37274	PT	Present	Alien	[2979778]
37275	PT	Present	Alien	[2979128]
37276	PT	Present	Alien	[2978730]
37277	PT	Present	Alien	[2979775]
37278	PT	Present	Alien	[2979000]
37279	PT	Present	Alien	[2978604]
37280	PT	Present	Alien	[2978552]
37281	PT	Present	Alien	[2979292]
37282	PT	Present	Alien	[3056055]
37283	PT	Present	Alien	[5415455]
37284	PT	Present	Alien	[2114446]
37285	PT	Present	Alien	[3189863]
37286	PT	Present	Alien	[3189866]
37287	PT	Present	Alien	[3189846]
37288	PT	Present	Alien	[2658484]
37289	PT	Present	Alien	[1651430]
37290	PT	Present	Alien	[2985682]
37291	PT	Present	Alien	[2985683]
37292	PT	Present	Alien	[3189809]
37293	PT	Present	Alien	[3189815]
37294	PT	Present	Alien	[2767031]
37295	PT	Present	Alien	[2766613]
37296	PT	Present	Alien	[2766660]
37297	PT	Present	Alien	[5400613]
37298	PT	Present	Alien	[5401760]
37299	PT	Present	Alien	[2656879]
37300	PT	Present	Alien	[3085368]
37301	PT	Present	Alien	[4197263]
37302	PT	Present	Alien	[7334818]
37303	PT	Present	Alien	[3190653]
37304	PT	Present	Alien	[2972983]
37305	PT	Present	Alien	[2362925]
37306	PT	Present	Alien	[5406789]
37307	PT	Present	Alien	[2474051]
37308	PT	Present	Alien	[2857697]
37309	PT	Present	Alien	[2856400]
37310	PT	Present	Alien	[2856681]
37311	PT	Present	Cryptogenic|Uncertain	[2856457]
37312	PT	Present	Alien	[2332269]
37313	PT	Present	Alien	[2876607]
37314	PT	Present	Alien	[5329904]
37315	PT	Present	Alien	[2777537]
37316	PT	Present	Alien	[2777430]
37317	PT	Present	Alien	[2777724]
37318	PT	Present	Alien	[2493707]
37319	PT	Present	Alien	[2493698]
37320	PT	Present	Alien	[2493697]
37321	PT	Present	Alien	[7905507]
37322	PT	Present	Alien	[5384395]
37323	PT	Present	Alien	[8911082]
37324	PT	Present	Alien	[6109611]
37325	PT	Present	Alien	[5384390]
37326	PT	Present	Alien	[5384396]
37327	PT	Present	Alien	[5384364]
37328	PT	Present	Alien	[9080185]
37329	PT	Present	Alien	[5384332]
37330	PT	Present	Alien	[7576335]
37331	PT	Present	Alien	[5384359]
37332	PT	Present	Alien	[6109534]
37333	PT	Present	Alien	[5384370]
37334	PT	Present	Alien	[5384334]
37335	PT	Present	Alien	[5325855]
37336	PT	Present	Alien	[7552441]
37337	PT	Present	Alien	[7446481]
37338	PT	Present	Alien	[7446481]
37339	PT	Present	Alien	[8002952]
37340	PT	Present	Alien	[2340977]
37341	PT	Present	Alien	[3188711]
37342	PT	Present	Alien	[5357407]
37343	PT	Present	Alien	[2219490]
37344	PT	Present	Alien	[4925448]
37345	PT	Present	Alien	[4805564]
37346	PT	Present	Alien	[5862470]
37347	PT	Present	Alien	[4933534]
37348	PT	Present	Alien	[4926336]
37349	PT	Present	Alien	['Uncertain']
37350	PT	Present	Alien	[5890148]
37351	PT	Present	Alien	[2656854]
37352	PT	Present	Alien	[2656845]
37353	PT	Present	Alien	[3083508]
37354	PT	Present	Alien	[3172001]
37355	PT	Present	Alien	[2657504]
37356	PT	Present	Alien	[2657432]
37357	PT	Present	Alien	[2657493]
37358	PT	Present	Alien	[2657651]
37359	PT	Present	Alien	[2657641]
37360	PT	Present	Alien	[6460808]
37361	PT	Present	Alien	[5371895]
37362	PT	Present	Alien	[5384309]
37363	PT	Present	Alien	[2684969]
37364	PT	Present	Alien	[3170442]
37365	PT	Present	Alien	[3114986]
37366	PT	Present	Alien	[5406226]
